Timestamp,Latitude,Longitude,Altitude (m),Vertical Accuracy (m),Horizontal Accuracy (m),Speed (m/s),Course
2026-01-10T21:39:34Z,34.169154619444285,-118.38772705415722,198.6460931180045,0.6902843254187669,1.6889017815598755,1.045023887177837,3.4874442113899136
2026-01-10T21:39:35Z,34.16916445882042,-118.3877264633486,198.6580790169537,0.690284264571482,1.6996945288231091,1.1286341349626292,2.0159097120628644
2026-01-10T21:39:36Z,34.16917480934231,-118.38772582546537,198.6721312943846,0.6902842204184809,1.6973828605717833,1.1358305886299467,3.056076832212568
2026-01-10T21:39:37Z,34.16918527761435,-118.38772459500916,198.6883309194818,0.6902841730826419,1.6888059534277873,1.1595202901497084,6.9944174122312575
2026-01-10T21:39:38Z,34.16919585096136,-118.38772270154176,198.70638535823673,0.6902841257503299,1.678429465165824,1.1779853506034659,9.254599606757438
2026-01-10T21:39:39Z,34.169206007439314,-118.38772027432657,198.7257147114724,0.690284092414428,1.6624006040364343,1.0937635072761198,13.200800192867973
2026-01-10T21:39:40Z,34.16921554662731,-118.38771732906294,198.74556774180382,0.6902840397725232,1.6441846719419395,1.0823842612850851,15.836802283831844
2026-01-10T21:39:41Z,34.169225025213855,-118.38771425752158,198.7651440287009,0.6902839916396775,1.6586508935702782,1.0811627024882422,14.75113589843994
2026-01-10T21:39:42Z,34.16923448155034,-118.38771173459216,198.7836037427187,0.6902839684965378,1.6557835162545091,1.0595698905516386,11.188085039864802
2026-01-10T21:39:43Z,34.1692439143363,-118.38770997269545,198.8002379592508,0.6902839200572427,1.6357492203337851,1.0455420830891942,7.21311639135638
2026-01-10T21:39:44Z,34.16925303706594,-118.38770889788283,198.81454251520336,0.69028387345472,1.6004835098361507,0.9683123065049621,4.1582054882762804
2026-01-10T21:39:45Z,34.169261745480995,-118.38770821115556,198.8261960670352,0.6902838461030828,1.5846426888729894,0.9401825909022261,3.1594989396326696
2026-01-10T21:39:46Z,34.16927064010664,-118.38770750350855,198.83536281064153,0.6902838094754448,1.6045592824380737,1.026517703262898,4.239561314343462
2026-01-10T21:39:47Z,34.169279957185516,-118.3877065012524,198.84251910913736,0.690283781361186,1.640861350076932,1.0196372946853058,6.39158250046205
2026-01-10T21:39:48Z,34.169289307915534,-118.38770544643805,198.84839032310992,0.6902837806728338,1.610187895921317,1.0350226934705211,4.85834689444539
2026-01-10T21:39:49Z,34.169298444742765,-118.38770476535707,198.85384071432054,0.6902837715584477,1.5778470817908772,0.9760250052060928,2.046579760096222
